;; ===============================================
;; WordNet Expansion for AI.kif Ontology
;; AUTO-GENERATED - DO NOT EDIT MANUALLY
;; ===============================================
;;
;; This file clones existing WordNet synsets to AI.kif categories.
;; Strategy: Map relevant human/agent concepts to AI equivalents.
;;

09190918 03 n 01 agent 0 000 | &%ArtificialAgent+
09777353 03 n 01 agent 0 000 | &%ArtificialAgent+
14778436 03 n 01 agent 0 000 | &%ArtificialAgent+
09777012 03 n 03 agent 0 factor 0 broker 0 000 | &%ArtificialAgent+
10373801 03 n 02 agent 0 federal_agent 0 000 | &%ArtificialAgent+
06332364 03 n 02 agentive_role 0 agent 0 000 | &%ArtificialAgent+
05772356 03 n 03 reasoning 0 logical_thinking 0 abstract_thought 0 000 | &%ArtificialIntelligence+
00634472 03 v 03 reason 0 reason_out 0 conclude 0 000 | &%ArtificialIntelligence+
00772189 03 v 02 argue 0 reason 0 000 | &%ArtificialIntelligence+
00632627 03 v 01 reason 0 000 | &%ArtificialIntelligence+
01926089 03 s 03 intelligent 0 reasoning 0 thinking 0 000 | &%ArtificialIntelligence+
05770926 03 n 06 thinking 0 thought 0 thought_process 0 cerebration 0 intellection 0 mentation 0 000 | &%ArtificialIntelligence+
00689344 03 v 04 think 0 believe 0 consider 0 conceive 0 000 | &%ArtificialIntelligence+
00631737 03 v 06 think 0 opine 0 suppose 0 imagine 0 reckon 0 guess 0 000 | &%ArtificialIntelligence+
00628491 03 v 03 think 0 cogitate 0 cerebrate 0 000 | &%ArtificialIntelligence+
00607780 03 v 07 remember 0 retrieve 0 recall 0 call_back 0 call_up 0 recollect 0 think 0 000 | &%ArtificialIntelligence+
01637166 03 v 01 think 0 000 | &%ArtificialIntelligence+
00723056 03 v 01 think 0 000 | &%ArtificialIntelligence+
00708538 03 v 03 intend 0 mean 0 think 0 000 | &%ArtificialIntelligence+
00739340 03 v 01 think 0 000 | &%ArtificialIntelligence+
00739082 03 v 01 think 0 000 | &%ArtificialIntelligence+
00689809 03 v 01 think 0 000 | &%ArtificialIntelligence+
00629738 03 v 01 think 0 000 | &%ArtificialIntelligence+
00608808 03 v 01 think 0 000 | &%ArtificialIntelligence+
00561887 03 v 01 think 0 000 | &%ArtificialIntelligence+
00023271 03 n 03 cognition 0 knowledge 0 noesis 0 000 | &%ArtificialIntelligence+
